"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-16 06:05:20,0.500,0.500
2023-07-16 06:05:30,0.400,0.400
2023-07-16 06:05:40,0.900,0.900
2023-07-16 06:05:50,0.800,0.800
2023-07-16 06:06:00,0.500,0.500
2023-07-16 06:06:10,0.300,0.300
2023-07-16 06:06:30,0.400,0.400
2023-07-16 06:06:40,0.500,0.500
2023-07-16 06:06:50,1.20,1.20
2023-07-16 06:07:00,0.800,0.800
2023-07-16 06:07:10,0.400,0.400
2023-07-16 06:07:20,0.500,0.500
2023-07-16 06:07:30,0.400,0.400
2023-07-16 06:07:40,0.300,0.300
2023-07-16 06:07:50,0.400,0.400
2023-07-16 06:08:00,0.500,0.500
2023-07-16 06:08:10,0.300,0.300
2023-07-16 06:08:20,0.300,0.300
2023-07-16 06:08:30,0.200,0.200
2023-07-16 06:08:40,0.300,0.300
2023-07-16 06:08:50,0.500,0.500
2023-07-16 06:09:00,0.600,0.600
2023-07-16 06:09:10,0.500,0.500
2023-07-16 06:09:20,0.500,0.500
2023-07-16 06:09:30,0.300,0.300
2023-07-16 06:09:40,0.600,0.600
2023-07-16 06:09:50,0.300,0.300
2023-07-16 06:10:00,0.500,0.500
2023-07-16 06:10:10,0.600,0.600
2023-07-16 06:10:30,0.300,0.300
2023-07-16 06:10:40,0.300,0.300
2023-07-16 06:10:50,0.400,0.400
2023-07-16 06:11:00,0.300,0.300
2023-07-16 06:11:10,0.700,0.700
2023-07-16 06:11:20,0.100,0.100
2023-07-16 06:11:30,0.600,0.600
2023-07-16 06:11:40,0.700,0.700
2023-07-16 06:11:50,0.200,0.200
2023-07-16 06:12:00,0.200,0.200
2023-07-16 06:12:10,0.400,0.400
2023-07-16 06:12:20,0.900,0.900
2023-07-16 06:12:30,0.400,0.400
2023-07-16 06:12:40,0.600,0.600
2023-07-16 06:12:50,0.200,0.200
2023-07-16 06:13:00,0.400,0.400
2023-07-16 06:13:10,0.600,0.600
2023-07-16 06:13:20,0.800,0.900
2023-07-16 06:13:30,0.400,0.400
2023-07-16 06:13:40,0.500,0.500
2023-07-16 06:13:50,0.600,0.600
2023-07-16 06:14:00,0.600,0.600
2023-07-16 06:14:10,0.300,0.300
2023-07-16 06:14:20,0.400,0.400
2023-07-16 06:14:30,0.300,0.300
2023-07-16 06:14:40,0.300,0.300
2023-07-16 06:14:50,0.400,0.400
2023-07-16 06:15:00,0.700,0.800
2023-07-16 06:15:10,0.300,0.300
2023-07-16 06:15:20,0.600,0.600
2023-07-16 06:15:30,0.500,0.500
2023-07-16 06:15:40,0.200,0.200
2023-07-16 06:15:50,0.700,0.700
2023-07-16 06:16:00,0.400,0.400
2023-07-16 06:16:10,0.200,0.200
2023-07-16 06:16:20,0.700,0.700
2023-07-16 06:16:30,0.400,0.400
2023-07-16 06:16:40,0.200,0.200
2023-07-16 06:16:50,0.300,0.300
2023-07-16 06:17:00,0.400,0.400
2023-07-16 06:17:10,0.500,0.500
2023-07-16 06:17:20,0.400,0.400
2023-07-16 06:17:30,0.600,0.600
2023-07-16 06:17:40,0.600,0.600
2023-07-16 06:17:50,0.500,0.500
2023-07-16 06:18:00,0.500,0.500
2023-07-16 06:18:10,0.800,0.800
2023-07-16 06:18:20,0.300,0.300
2023-07-16 06:18:30,0.800,0.800
2023-07-16 06:18:40,0.600,0.600
2023-07-16 06:18:50,0.700,0.700
2023-07-16 06:19:00,0.500,0.500
2023-07-16 06:19:10,0.200,0.200
2023-07-16 06:19:20,0.500,0.500
2023-07-16 06:19:30,0.200,0.200
2023-07-16 06:19:40,0.300,0.300
2023-07-16 06:19:50,0.500,0.500
2023-07-16 06:20:00,0.900,0.900
2023-07-16 06:20:10,0.500,0.500
2023-07-16 06:20:20,0.500,0.500
2023-07-16 06:20:30,0.300,0.300
2023-07-16 06:20:40,0.200,0.200
2023-07-16 06:20:50,0.100,0.100
2023-07-16 06:21:00,0.400,0.400
2023-07-16 06:21:10,0.300,0.300
2023-07-16 06:21:20,0.600,0.600
2023-07-16 06:21:30,0.200,0.200
2023-07-16 06:21:40,0.200,0.200
2023-07-16 06:21:50,0.500,0.500
2023-07-16 06:22:00,0.600,0.600
2023-07-16 06:22:10,0.600,0.600
2023-07-16 06:22:20,0.400,0.400
2023-07-16 06:22:30,0.600,0.600
2023-07-16 06:22:40,0.300,0.300
2023-07-16 06:22:50,0.700,0.700
2023-07-16 06:23:00,0.600,0.600
2023-07-16 06:23:10,0.600,0.600
2023-07-16 06:23:20,0.400,0.400
2023-07-16 06:23:30,0.500,0.500
2023-07-16 06:23:40,0.100,0.100
2023-07-16 06:23:50,0.500,0.500
2023-07-16 06:24:00,0.200,0.200
2023-07-16 06:24:10,0.300,0.300
2023-07-16 06:24:20,0.600,0.600
2023-07-16 06:24:30,0.600,0.600
2023-07-16 06:24:40,0.300,0.300
2023-07-16 06:24:50,0.600,0.600
2023-07-16 06:25:00,0.600,0.600
2023-07-16 06:25:10,0.400,0.400
2023-07-16 06:25:20,0.800,0.800
2023-07-16 06:25:30,0.300,0.300
2023-07-16 06:25:40,0.500,0.500
2023-07-16 06:25:50,0.200,0.200
2023-07-16 06:26:00,0.100,0.100
2023-07-16 06:26:10,0.300,0.300
2023-07-16 06:26:20,0.200,0.200
2023-07-16 06:26:30,0.300,0.300
2023-07-16 06:26:40,0.400,0.400
2023-07-16 06:26:50,0.700,0.700
2023-07-16 06:27:00,0.200,0.200
2023-07-16 06:27:10,0.700,0.700
2023-07-16 06:27:20,0.300,0.300
2023-07-16 06:27:30,0.400,0.400
2023-07-16 06:27:40,0.300,0.300
2023-07-16 06:27:50,0.300,0.300
2023-07-16 06:28:00,0.300,0.300
2023-07-16 06:28:10,0.700,0.700
