"Time","GET /login 20ms","GET /signup 20ms","POST /logout 20ms","GET / 30ms","GET /home 30ms","POST /deposit 300ms","POST /payment 300ms","POST /login 2000ms","POST /signup 3000ms"
2023-07-18 01:59:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:59:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 01:59:20,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 01:59:30,100%,100%,100%,100%,100%,100%,100%,87.5%,
2023-07-18 01:59:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 01:59:50,100%,100%,,100%,100%,100%,100%,60.0%,100%
2023-07-18 02:00:00,100%,100%,100%,100%,100%,100%,100%,50%,50%
2023-07-18 02:00:10,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:00:20,100%,100%,100%,100%,100%,100%,100%,87.5%,0%
2023-07-18 02:00:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:00:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:00:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:01:00,100%,100%,100%,100%,100%,100%,,100%,33.3%
2023-07-18 02:01:10,100%,100%,,100%,96.2%,100%,100%,100%,100%
2023-07-18 02:01:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:01:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:01:40,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:01:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:02:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:02:10,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:02:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:02:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:02:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:02:50,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:03:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:03:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:03:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:03:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:03:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:03:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:04:00,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:04:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:04:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:04:30,100%,100%,,88.9%,100%,88.9%,100%,100%,100%
2023-07-18 02:04:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:04:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:05:00,100%,100%,100%,100%,100%,100%,100%,77.8%,
2023-07-18 02:05:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:05:20,100%,100%,,100%,100%,100%,100%,75.0%,
2023-07-18 02:05:30,100%,100%,,100%,100%,100%,100%,88.9%,0%
2023-07-18 02:05:40,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:05:50,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:06:00,100%,,,100%,100%,100%,100%,70%,
2023-07-18 02:06:10,100%,,100%,100%,96.3%,100%,100%,100%,
2023-07-18 02:06:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:06:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:06:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:06:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:07:00,100%,100%,100%,100%,100%,100%,100%,90%,100%
2023-07-18 02:07:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:07:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:07:30,100%,100%,,100%,100%,100%,,100%,
2023-07-18 02:07:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:07:50,100%,100%,100%,100%,100%,100%,100%,92.3%,100%
2023-07-18 02:08:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:08:10,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:08:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:08:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:08:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:08:50,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:09:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:09:10,100%,100%,100%,100%,97.2%,100%,100%,100%,
2023-07-18 02:09:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:09:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:09:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:09:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:10:00,100%,100%,,100%,95.7%,100%,100%,100%,100%
2023-07-18 02:10:10,100%,,100%,100%,100%,100%,100%,87.5%,100%
2023-07-18 02:10:20,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:10:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:10:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:10:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:11:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:11:10,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:11:20,100%,,,100%,100%,100%,100%,77.8%,
2023-07-18 02:11:30,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:11:40,100%,100%,100%,100%,100%,100%,100%,87.5%,
2023-07-18 02:11:50,100%,100%,100%,100%,100%,100%,100%,71.4%,100%
2023-07-18 02:12:00,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:12:10,100%,100%,100%,90.9%,100%,100%,100%,100%,
2023-07-18 02:12:20,100%,100%,,100%,100%,100%,100%,71.4%,100%
2023-07-18 02:12:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:12:40,100%,,,100%,100%,100%,100%,85.7%,100%
2023-07-18 02:12:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:13:00,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:13:10,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:13:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:13:30,100%,100%,100%,100%,100%,100%,100%,60.0%,
2023-07-18 02:13:40,100%,100%,,100%,100%,100%,100%,83.3%,100%
2023-07-18 02:13:50,100%,100%,100%,100%,100%,100%,100%,71.4%,100%
2023-07-18 02:14:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:14:10,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:14:20,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:14:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:14:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:14:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:15:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:15:10,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:15:20,100%,100%,,100%,100%,100%,100%,85.7%,
2023-07-18 02:15:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:15:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:15:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:16:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:16:10,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:16:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:16:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:16:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:16:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:17:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:17:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:17:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:17:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:17:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:17:50,100%,,,95.5%,100%,100%,100%,100%,100%
2023-07-18 02:18:00,100%,,,100%,100%,100%,100%,70%,
2023-07-18 02:18:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:18:20,100%,,100%,100%,100%,100%,100%,88.9%,100%
2023-07-18 02:18:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:18:40,100%,100%,,100%,100%,100%,100%,87.5%,100%
2023-07-18 02:18:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:19:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:19:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:19:20,100%,,,90%,100%,100%,100%,100%,100%
2023-07-18 02:19:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:19:40,100%,100%,,100%,100%,100%,100%,70%,100%
2023-07-18 02:19:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:20:00,100%,100%,100%,100%,100%,100%,100%,83.3%,100%
2023-07-18 02:20:10,100%,100%,100%,100%,100%,100%,100%,72.7%,100%
2023-07-18 02:20:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:20:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:20:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:20:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:21:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:21:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:21:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:21:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:21:40,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:21:50,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:22:00,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:22:10,100%,100%,,100%,96.6%,100%,100%,100%,
2023-07-18 02:22:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:22:30,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:22:40,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:22:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:23:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:23:10,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:23:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:23:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:23:40,100%,100%,100%,100%,100%,100%,100%,50%,100%
2023-07-18 02:23:50,100%,,,100%,96.4%,100%,100%,100%,100%
2023-07-18 02:24:00,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:24:10,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:24:20,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:24:30,100%,100%,100%,100%,100%,100%,100%,72.7%,
2023-07-18 02:24:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:24:50,100%,100%,100%,100%,100%,100%,100%,66.7%,100%
2023-07-18 02:25:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:25:10,100%,100%,100%,100%,100%,100%,100%,66.7%,
2023-07-18 02:25:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:25:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:25:40,100%,,,100%,100%,100%,100%,60.0%,100%
2023-07-18 02:25:50,100%,100%,100%,100%,96.7%,100%,100%,100%,100%
2023-07-18 02:26:00,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:26:10,100%,100%,100%,93.3%,100%,100%,100%,100%,
2023-07-18 02:26:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:26:30,100%,100%,100%,100%,100%,100%,100%,77.8%,100%
2023-07-18 02:26:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:26:50,,,,100%,100%,100%,100%,100%,
2023-07-18 02:27:00,,,,100%,100%,100%,100%,100%,
2023-07-18 02:27:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:27:20,100%,100%,100%,100%,100%,100%,100%,66.7%,100%
2023-07-18 02:27:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:27:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:27:50,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:28:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:28:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:28:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:28:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:28:40,100%,100%,100%,100%,100%,100%,100%,90%,100%
2023-07-18 02:28:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:29:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:29:10,100%,100%,100%,100%,93.5%,100%,100%,100%,100%
2023-07-18 02:29:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:29:30,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:29:40,100%,100%,100%,100%,100%,100%,100%,87.5%,
2023-07-18 02:29:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:30:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:30:10,100%,100%,,100%,100%,100%,100%,88.9%,100%
2023-07-18 02:30:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:30:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:30:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:30:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:31:00,100%,,,100%,100%,100%,100%,90%,
2023-07-18 02:31:10,100%,100%,100%,100%,100%,100%,100%,88.9%,100%
2023-07-18 02:31:20,100%,100%,100%,100%,100%,100%,100%,88.9%,
2023-07-18 02:31:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:31:40,100%,100%,,100%,100%,100%,100%,60.0%,100%
2023-07-18 02:31:50,100%,100%,100%,100%,100%,100%,100%,75.0%,100%
2023-07-18 02:32:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:32:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:32:20,100%,100%,,100%,100%,100%,100%,66.7%,100%
2023-07-18 02:32:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:32:40,100%,100%,100%,88.9%,100%,75.0%,100%,80%,100%
2023-07-18 02:32:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:33:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:33:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:33:20,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:33:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:33:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:33:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:34:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:34:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:34:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:34:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:34:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:34:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:35:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:35:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:35:20,100%,100%,,100%,100%,100%,100%,88.9%,100%
2023-07-18 02:35:30,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:35:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:35:50,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:36:00,100%,,,100%,100%,100%,100%,71.4%,100%
2023-07-18 02:36:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:36:20,100%,100%,100%,100%,100%,100%,100%,90.9%,
2023-07-18 02:36:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:36:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:36:50,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:37:00,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:37:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:37:20,100%,100%,,100%,100%,100%,100%,75.0%,100%
2023-07-18 02:37:30,100%,100%,100%,100%,100%,100%,,100%,100%
2023-07-18 02:37:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:37:50,100%,100%,,100%,100%,100%,100%,83.3%,66.7%
2023-07-18 02:38:00,100%,100%,100%,88.9%,100%,100%,100%,100%,100%
2023-07-18 02:38:10,100%,100%,100%,100%,100%,100%,100%,90.0%,50%
2023-07-18 02:38:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:38:30,100%,,100%,100%,100%,100%,100%,92.3%,
2023-07-18 02:38:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:38:50,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:39:00,100%,100%,100%,100%,96.8%,100%,100%,100%,100%
2023-07-18 02:39:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:39:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:39:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:39:40,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:39:50,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:40:00,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:40:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:40:20,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:40:30,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:40:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:40:50,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:41:00,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:41:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:41:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:41:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:41:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:41:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:42:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:42:10,100%,100%,100%,100%,100%,100%,100%,57.1%,100%
2023-07-18 02:42:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:42:30,100%,100%,100%,100%,100%,100%,100%,75.0%,100%
2023-07-18 02:42:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:42:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:43:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:43:10,100%,100%,,100%,100%,100%,100%,66.7%,100%
2023-07-18 02:43:20,100%,100%,,100%,100%,100%,100%,83.3%,100%
2023-07-18 02:43:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:43:40,100%,100%,100%,100%,100%,100%,100%,71.4%,
2023-07-18 02:43:50,100%,100%,100%,100%,100%,100%,100%,85.7%,100%
2023-07-18 02:44:00,100%,100%,,100%,100%,,100%,77.8%,
2023-07-18 02:44:10,100%,100%,100%,100%,100%,100%,100%,90%,100%
2023-07-18 02:44:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:44:30,100%,100%,,100%,100%,100%,100%,87.5%,100%
2023-07-18 02:44:40,100%,100%,100%,100%,100%,100%,100%,87.5%,100%
2023-07-18 02:44:50,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:45:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:45:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:45:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:45:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:45:40,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:45:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:46:00,,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:46:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:46:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:46:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:46:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:46:50,,,,100%,100%,100%,100%,100%,
2023-07-18 02:47:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:47:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:47:20,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:47:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:47:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:47:50,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:48:00,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:48:10,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:48:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:48:30,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:48:40,100%,100%,100%,100%,94.4%,80%,100%,100%,100%
2023-07-18 02:48:50,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:49:00,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:49:10,100%,100%,100%,100%,100%,100%,100%,66.7%,100%
2023-07-18 02:49:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:49:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:49:40,100%,,,100%,100%,100%,100%,100%,
2023-07-18 02:49:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:50:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:50:10,100%,100%,100%,100%,100%,100%,100%,71.4%,
2023-07-18 02:50:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:50:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:50:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:50:50,100%,,,100%,100%,100%,100%,88.9%,
2023-07-18 02:51:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:51:10,100%,100%,100%,100%,100%,100%,100%,71.4%,100%
2023-07-18 02:51:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:51:30,100%,,100%,100%,100%,100%,100%,88.9%,100%
2023-07-18 02:51:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:51:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:52:00,100%,,,100%,100%,100%,75.0%,90.9%,
2023-07-18 02:52:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:52:20,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:52:30,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:52:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:52:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:53:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:53:10,100%,100%,,100%,100%,100%,100%,100%,
2023-07-18 02:53:20,100%,100%,100%,100%,100%,100%,100%,85.7%,100%
2023-07-18 02:53:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:53:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:53:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:54:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:54:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:54:20,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:54:30,100%,100%,,100%,100%,100%,100%,83.3%,100%
2023-07-18 02:54:40,100%,,100%,100%,100%,100%,100%,80%,100%
2023-07-18 02:54:50,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:55:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:55:10,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:55:20,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:55:30,100%,,,100%,100%,100%,100%,75.0%,
2023-07-18 02:55:40,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:55:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:56:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:56:10,100%,100%,100%,100%,100%,100%,100%,71.4%,50%
2023-07-18 02:56:20,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:56:30,100%,,100%,100%,100%,100%,100%,100%,
2023-07-18 02:56:40,100%,,,100%,100%,100%,100%,71.4%,100%
2023-07-18 02:56:50,100%,100%,100%,90.0%,100%,100%,100%,100%,100%
2023-07-18 02:57:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:57:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:57:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:57:30,100%,100%,,100%,100%,100%,100%,88.9%,0%
2023-07-18 02:57:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:57:50,100%,100%,,100%,94.1%,100%,100%,100%,
2023-07-18 02:58:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-18 02:58:10,100%,100%,,100%,96.3%,100%,100%,100%,100%
2023-07-18 02:58:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-18 02:58:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-18 02:58:40,100%,,,100%,100%,100%,100%,100%,100%
2023-07-18 02:58:50,,,,100%,100%,100%,100%,100%,
